provider,sku,name,category,status,lastSeenAt,image,productUrl
"Coaster Furniture","300762Q-S5","Dorian Bedroom Set","Bedroom","active","2026-07-11T02:15:58.246Z","https://pictures.coastercenter.com/items/300762Q-S5/300762Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Dorian-Bedroom-Set/300762Q-S5"
"Coaster Furniture","300763Q","Dorian Upholstered Panel Bed","Bedroom","active","2026-07-11T02:15:33.868Z","https://pictures.coastercenter.com/items/300763Q/300763Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Dorian-Upholstered-Panel-Bed/300763Q"
"Coaster Furniture","300834Q","Monroe Upholstered Canopy Bed","Bedroom","active","2026-07-11T02:16:13.297Z","https://pictures.coastercenter.com/items/300834Q/300834Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Monroe-Upholstered-Canopy-Bed/300834Q"
"Coaster Furniture","300843Q-S5","Barzini Bedroom Set (Upholstered Bed)","Bedroom","active","2026-07-11T02:55:17.021Z","https://pictures.coastercenter.com/items/300843Q-S5/300843Q-S5_01x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Barzini-Bedroom-Set-(Upholstered-Bed)/300843Q-S5"
"Coaster Furniture","300851Q","Dorian Upholstered Panel Bed","Bedroom","active","2026-07-11T02:15:40.628Z","https://pictures.coastercenter.com/items/300851Q/300851Q_03x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Dorian-Upholstered-Panel-Bed/300851Q"
"Coaster Furniture","301056","Newbury Metal Daybed","Bedroom","active","2026-07-11T02:16:20.566Z","https://pictures.coastercenter.com/items/301056/301056_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Newbury-Metal-Daybed/301056"
"Coaster Furniture","301057","Richland Metal Daybed","Bedroom","active","2026-07-11T02:14:38.793Z","https://pictures.coastercenter.com/items/301057/301057_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Richland-Metal-Daybed/301057"
"Coaster Furniture","302052Q","Wren Upholstered Panel Bed","Bedroom","active","2026-07-11T02:14:32.837Z","https://pictures.coastercenter.com/items/302052Q/302052Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Wren-Upholstered-Panel-Bed/302052Q"
"Coaster Furniture","302161","Mockern Upholstered Daybed with Trundle","Bedroom","active","2026-07-11T02:15:18.100Z","https://pictures.coastercenter.com/items/302161/302161_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Mockern-Upholstered-Daybed-with-Trundle/302161"
"Coaster Furniture","305706","Sorrento Wood Daybed with Extension Trundle","Bedroom","active","2026-07-11T02:15:18.100Z","https://pictures.coastercenter.com/items/305706/305706_04x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Sorrento-Wood-Daybed-with-Extension-Trundle/305706"
"Coaster Furniture","305746Q","Mapes Upholstered Panel Bed","Bedroom","active","2026-07-11T02:16:20.566Z","https://pictures.coastercenter.com/items/305746Q/305746Q_02x500.jpg","https://www.coasterfurniture.com/furniture/category/Bedroom/Mapes-Upholstered-Panel-Bed/305746Q"
